Port Sets,count
17128-17140,161658
17128-17132,161789
17128-17138,161092
17128-17130,161465
17128-17136,161594
17128-17142,127056
17128-17134,127268
17128-34218,26086
17128-34226,25902
17128-34224,25942
17128-34216,26010
17128-34228,25930
17128-33964,25687
17128-34220,25859
17128-33960,25896
17128-33970,25678
17128-33962,25756
17128-33968,25576
17128-33972,25575
17140-17132,161640
17140-17138,161398
17140-17130,161650
17140-17136,161317
17140-17142,127109
17140-17134,126779
17140-34218,25988
17140-34226,25884
17140-34224,25969
17140-34216,25815
17140-34228,26046
17140-33964,25587
17140-34220,25906
17140-33960,25693
17140-33970,25707
17140-33962,25818
17140-33968,25505
17140-33972,25640
17132-17138,161523
17132-17130,161804
17132-17136,161342
17132-17142,126900
17132-17134,127223
17132-34218,26021
17132-34226,26014
17132-34224,25961
17132-34216,25910
17132-34228,25927
17132-33964,25867
17132-34220,25998
17132-33960,25729
17132-33970,25832
17132-33962,25705
17132-33968,25570
17132-33972,25520
17138-17130,161330
17138-17136,160708
17138-17142,126693
17138-17134,126903
17138-34218,26089
17138-34226,26129
